Type,LocationLat,LocationLng
Fog,39.0,-110.1667
Fog,28.9444,-81.9701
Fog,42.5833,-108.2833
Fog,42.5833,-108.2833
Fog,42.5833,-108.2833
Fog,42.5833,-108.2833
Fog,42.5833,-108.2833
Fog,42.5833,-108.2833
Fog,42.5833,-108.2833
Fog,42.5833,-108.2833
Fog,42.5833,-108.2833
Fog,42.5833,-108.2833
