Type,Severity,LocationLat,LocationLng
Snow,Light,41.208999999999996,-81.2479
Snow,Light,41.208999999999996,-81.2479
Fog,Moderate,41.208999999999996,-81.2479
Snow,Light,41.208999999999996,-81.2479
Fog,Moderate,41.208999999999996,-81.2479
Snow,Light,41.208999999999996,-81.2479
Cold,Severe,42.5902,-117.8646
Rain,Light,26.4338,-81.4014
Cold,Severe,43.2755,-91.7433
Rain,Light,30.4278,-86.6893
Rain,Light,30.4278,-86.6893
Snow,Light,30.4278,-86.6893
Snow,Light,41.9197,-84.5853
Snow,Light,41.9197,-84.5853
Snow,Light,41.9197,-84.5853
